date,hour,o_zone_id,d_zone_id,volume
2019-10-17,12,1,8,7.0
2019-10-15,13,1,8,7.0
2019-10-16,13,1,8,6.0
2019-10-17,13,1,8,9.0
2019-10-15,14,1,8,16.0
2019-10-16,14,1,8,15.0
2019-10-17,14,1,8,14.0
2019-10-15,15,1,8,26.0
2019-10-16,15,1,8,38.0
2019-10-17,15,1,8,21.0
2019-10-15,16,1,8,63.0
2019-10-16,16,1,8,62.0
2019-10-17,16,1,8,74.0
2019-10-15,17,1,8,106.0
2019-10-16,17,1,8,112.0
2019-10-17,17,1,8,105.0
2019-10-15,18,1,8,33.0
2019-10-16,18,1,8,41.0
2019-10-17,18,1,8,33.0
2019-10-15,19,1,8,16.0
2019-10-16,19,1,8,11.0
2019-10-17,19,1,8,13.0
2019-10-15,20,1,8,4.0
2019-10-16,20,1,8,6.0
2019-10-17,20,1,8,7.0
2019-10-15,21,1,8,7.0
2019-10-16,21,1,8,6.0
2019-10-17,21,1,8,6.0
2019-10-15,22,1,8,5.0
2019-10-16,22,1,8,6.0
2019-10-17,22,1,8,7.0
2019-10-15,23,1,8,1.0
2019-10-16,23,1,8,1.0
2019-10-17,23,1,8,3.0
2019-10-16,6,1,10,1.0
2019-10-15,7,1,10,1.0
2019-10-15,8,1,10,1.0
2019-10-16,8,1,10,1.0
2019-10-17,8,1,10,2.0
2019-10-15,9,1,10,1.0
2019-10-15,10,1,10,2.0
2019-10-17,11,1,10,1.0
2019-10-17,12,1,10,2.0
2019-10-15,13,1,10,1.0
2019-10-16,13,1,10,1.0
2019-10-17,13,1,10,1.0
2019-10-15,14,1,10,3.0
2019-10-16,14,1,10,9.0
2019-10-17,14,1,10,2.0
2019-10-15,15,1,10,13.0
2019-10-16,15,1,10,12.0
2019-10-17,15,1,10,7.0
2019-10-15,16,1,10,21.0
2019-10-16,16,1,10,19.0
2019-10-17,16,1,10,25.0
2019-10-15,17,1,10,39.0
2019-10-16,17,1,10,41.0
2019-10-17,17,1,10,46.0
2019-10-15,18,1,10,21.0
2019-10-16,18,1,10,24.0
2019-10-17,18,1,10,16.0
2019-10-15,19,1,10,13.0
2019-10-16,19,1,10,10.0
2019-10-17,19,1,10,11.0
2019-10-15,20,1,10,3.0
2019-10-16,20,1,10,3.0
2019-10-17,20,1,10,3.0
2019-10-15,21,1,10,2.0
2019-10-16,21,1,10,1.0
2019-10-17,21,1,10,1.0
2019-10-17,23,1,10,3.0
2019-10-15,5,1,11,8.0
2019-10-16,5,1,11,6.0
2019-10-17,5,1,11,7.0
2019-10-15,6,1,11,27.0
2019-10-16,6,1,11,23.0
2019-10-17,6,1,11,25.0
2019-10-15,7,1,11,72.0
2019-10-16,7,1,11,68.0
2019-10-17,7,1,11,80.0
2019-10-15,8,1,11,124.0
2019-10-16,8,1,11,139.0
2019-10-17,8,1,11,146.0
2019-10-15,9,1,11,86.0
2019-10-16,9,1,11,90.0
2019-10-17,9,1,11,78.0
2019-10-15,10,1,11,35.0
2019-10-16,10,1,11,42.0
2019-10-17,10,1,11,54.0
2019-10-15,11,1,11,31.0
2019-10-16,11,1,11,43.0
2019-10-17,11,1,11,36.0
2019-10-15,12,1,11,28.0
2019-10-16,12,1,11,25.0
2019-10-17,12,1,11,47.0
2019-10-15,13,1,11,26.0
2019-10-16,13,1,11,34.0
2019-10-17,13,1,11,37.0
2019-10-15,14,1,11,18.0
2019-10-16,14,1,11,22.0
2019-10-17,14,1,11,24.0
2019-10-15,15,1,11,28.0
2019-10-16,15,1,11,34.0
2019-10-17,15,1,11,27.0
2019-10-15,16,1,11,44.0
2019-10-16,16,1,11,54.0
2019-10-17,16,1,11,47.0
2019-10-15,17,1,11,106.0
2019-10-16,17,1,11,110.0
2019-10-17,17,1,11,114.0
2019-10-15,18,1,11,65.0
2019-10-16,18,1,11,58.0
2019-10-17,18,1,11,78.0
2019-10-15,19,1,11,37.0
2019-10-16,19,1,11,29.0
2019-10-17,19,1,11,29.0
2019-10-15,20,1,11,5.0
2019-10-16,20,1,11,14.0
2019-10-17,20,1,11,15.0
2019-10-15,21,1,11,6.0
2019-10-16,21,1,11,5.0
2019-10-17,21,1,11,14.0
2019-10-15,22,1,11,22.0
2019-10-16,22,1,11,13.0
2019-10-17,22,1,11,11.0
2019-10-15,23,1,11,1.0
2019-10-16,23,1,11,3.0
2019-10-17,23,1,11,6.0
2019-10-15,7,1,12,2.0
2019-10-16,7,1,12,1.0
2019-10-17,7,1,12,1.0
2019-10-15,9,1,12,2.0
2019-10-16,9,1,12,3.0
2019-10-17,9,1,12,1.0
2019-10-17,10,1,12,2.0
2019-10-15,11,1,12,3.0
2019-10-16,11,1,12,1.0
2019-10-15,12,1,12,1.0
2019-10-16,12,1,12,3.0
2019-10-15,13,1,12,2.0
2019-10-16,13,1,12,2.0
2019-10-17,13,1,12,5.0
2019-10-15,14,1,12,2.0
2019-10-16,14,1,12,4.0
2019-10-17,14,1,12,3.0
2019-10-15,15,1,12,4.0
2019-10-16,15,1,12,5.0
2019-10-17,15,1,12,6.0
2019-10-15,16,1,12,22.0
2019-10-16,16,1,12,22.0
2019-10-17,16,1,12,22.0
2019-10-15,17,1,12,55.0
2019-10-16,17,1,12,37.0
2019-10-17,17,1,12,45.0
2019-10-15,18,1,12,18.0
2019-10-16,18,1,12,37.0
2019-10-17,18,1,12,24.0
2019-10-15,19,1,12,10.0
2019-10-16,19,1,12,4.0
2019-10-17,19,1,12,9.0
2019-10-15,20,1,12,2.0
2019-10-16,20,1,12,4.0
2019-10-17,20,1,12,2.0
2019-10-15,21,1,12,2.0
2019-10-16,21,1,12,1.0
2019-10-15,22,1,12,1.0
