bus_stop_id,bus_stop_name,rail_station,distance_m
28906,SOUTHERN AVE SE & VALLEY TER SE,SOUTHERN AVE METRO STATION,117.4
28903,PENNSYLVANIA AVE SE & POTOMAC AVE SE,POTOMAC AVE METRO,117.7
29491,GREENBELT STATION & BUS BAY D,GREENBELT METRO STATION,118.4
28064,FRIENDSHIP HEIGHTS STATION & BUS BAY D,FRIENDSHIP HEIGHTS METRO STATION,118.6
28658,ADDISON RD STATION & BUS BAY B,ADDISON ROAD METRO STATION,119.0
29151,WEST FALLS CHURCH STATION & BUS BAY C,WEST FALLS CHURCH METRO,121.1
4899,CONNECTICUT AVE NW & 20TH ST NW,DUPONT CIRCLE METRO STATION,122.2
29767,FORT TOTTEN STATION & BUS BAY H,FORT TOTTEN METRO STATION,122.3
13555,7TH ST & E ST SW,L'ENFANT PLAZA METRO STATION,122.4
21011,GEORGIA AVE & FOREST GLEN RD,FOREST GLEN METRO STATION,122.7
7673,13TH ST NW & G ST NW,METRO CENTER METRO STATION,122.8
27314,MINNESOTA AVE STATION & BUS BAY G,MINNESOTA AVE METRO STATION,123.6
44278,TAKOMA STATION + BUS BAY B,TAKOMA METRO STATION,123.8
13712,7TH ST & C ST SW,L'ENFANT PLAZA METRO STATION,124.1
30125,FRANKLIN SQUARE & BUS BAY B,MCPHERSON SQ METRO STATION,124.4
29530,LARGO TOWN CENTER STATION & BUS BAY C,LARGO TOWN CENTER METRO STATION,125.7
42834,SOUTHERN AVE STATION & BUS BAY F,SOUTHERN AVE METRO STATION,125.7
31197,BENNING RD & EAST CAPITOL ST SE,BENNING RD METRO STATION,125.8
7117,WESTERN AVE & 44TH ST,FRIENDSHIP HEIGHTS METRO STATION,126.2
27005,7TH ST & E ST SW,L'ENFANT PLAZA METRO STATION,126.3
6509,PENNSYLVANIA AVE SE & POTOMAC AVE SE,POTOMAC AVE METRO,127.0
36826,WISCONSIN AVE NW & ALBEMARLE ST NW,TENLEYTOWN METRO STATION,128.0
8930,PENNSYLVANIA AVE SE & 8TH ST SE,EASTERN MARKET METRO STATION,130.0
29666,SUITLAND STATION & BAY J,SUITLAND METRO STATION,130.1
47134,PENTAGON TRANSIT CENTER + BUS BAY L3,PENTAGON METRO STATION,130.7
26964,POTOMAC AVE SE & 14TH ST SE,POTOMAC AVE METRO,131.1
7358,4TH ST & BUTTERNUT ST,TAKOMA METRO STATION,131.9
42928,ROCKVILLE STATION  + BUS BAY G,ROCKVILLE METRO STATION,131.9
8074,E BRADDOCK RD & MT VERNON AVE,BRADDOCK RD METRORAIL STATION,132.1
41191,DUNN LORING STATION & BUS BAY F,DUNN LORING MERRIFIELD METRO STATION,132.1
28943,STADIUM-ARMORY STATION & BUS BAY F,STADIUM ARMORY METRO STATION,132.8
6219,40TH ST NW & ALBEMARLE ST NW,TENLEYTOWN METRO STATION,133.8
4861,COLUMBIA RD NW & 14TH ST NW,COLUMBIA HEIGHTS METRO STATION,134.9
7485,7TH ST & H ST,GALLERY PLACE CHINATOWN METRO STATION,135.1
42922,S EADS ST + 18TH ST,CRYSTAL CITY METRO STATION,135.8
21030,GEORGIA AVE & FOREST GLEN RD,FOREST GLEN METRO STATION,135.8
5632,14TH ST & K ST,MCPHERSON SQ METRO STATION,136.3
5252,F ST & 11TH ST,METRO CENTER METRO STATION,136.4
21537,MONTGOMERY AVE & EAST LA,BETHESDA METRO STATION,137.1
29612,ADDISON RD STATION & BUS BAY A,ADDISON ROAD METRO STATION,137.2
21958,REEDIE DR & FERN ST,WHEATON METRO STATION,139.4
28671,GREENBELT STATION & BUS BAY C,GREENBELT METRO STATION,139.5
48238,HUNTINGTON STATION SOUTH - BUS BAY D,HUNTINGTON AV METRO STATION,140.8
27653,CONNECTICUT AVE & CALVERT ST,WOODLEY PARK-ZOO METRO STATION,141.5
5250,F ST NW & 13TH ST NW,METRO CENTER METRO STATION,143.3
3701,H ST NW & 14TH ST NW,MCPHERSON SQ METRO STATION,144.3
5505,11TH ST NW & H ST NW,METRO CENTER METRO STATION,144.8
31848,11TH ST NW & H ST NW,METRO CENTER METRO STATION,144.8
5242,F ST & 13TH ST,METRO CENTER METRO STATION,145.0
29543,LARGO TOWN CENTER STATION & BUS BAY B,LARGO TOWN CENTER METRO STATION,145.0
